corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,uiuo.ark:/13960/t8cg02w54,paris,en,18,"Duffy, Bella","Winifred Power.",1883,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,56509
Hathi,uiuo.ark:/13960/t86h5706q,paris,en,4,"Tautphoeus, Jemima Montgomery, Baroness","Cyrilla : a tale / by the author of The initials.",1853,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,88967
Hathi,pst.000002028965,paris,en,2,"James, Henry","In the cage, by Henry James.",1898,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,46250
Hathi,nnc1.0020308957,paris,en,1,"Eliot, George","Novels of George Eliot.",1879,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,124081
Hathi,nyp.33433076055015,paris,en,5,"Thackeray, William Makepeace","The works of William Makepeace Thackeray.",1870,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,187285
Hathi,uc2.ark:/13960/t1gh9gk7s,paris,en,14,"Buchanan, Robert Williams","The new Abelard, a romance by Robert Buchanan ...",1884,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,58238
Hathi,uc2.ark:/13960/t9g44xf7w,paris,en,1,"Brontë, Charlotte","Jane Eyre.",1896,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,110193
Hathi,uiuo.ark:/13960/t3514ns7k,paris,en,3,"Spicer, Henry","Bound to please.",1867,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,97356
Hathi,njp.32101064791484,paris,en,1,"Trollope, Frances Milton","Petticoat government; a novel, by Mrs. Trollope ...",1850,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,62715
Hathi,uiuo.ark:/13960/t2q537n1m,paris,en,2,"Noble, Frances","Violet Mortimer.",1879,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,57017
