corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,uiuo.ark:/13960/t4pk0rn7z,rome,en,1,"Fenn, George Manville","The star-gazers.",1894,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,65768
Hathi,mdp.39015065590245,rome,en,10,"Poe, Edgar Allan","The works of Edgar Allan Poe; with an introduction and a memoir by Richard Henry Stoddard.",1896,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,141769
Hathi,uc2.ark:/13960/t5k93dc12,rome,en,1,"Black, William","Three feathers. A novel.",1875,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,50037
Hathi,mdp.39015065553052,rome,en,1,"Watson, John, F.L.S","The annals of a quiet valley. By a country parson. Ed. by J. Watson.",1894,unknown,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,43074
Hathi,mdp.39015069268640,rome,en,3,"Scott, Walter","The Waverley novels.",1897,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,212360
Hathi,uc1.$b387307,rome,en,4,"Gaboriau, Emile",Catastrophe.,1899,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,278191
Hathi,uiuo.ark:/13960/t3ws97t91,rome,en,1,"Oliphant, (Margaret), Mrs","Harry Joscelyn / by Mrs. Oliphant.",1881,unknown,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,76449
Hathi,uc2.ark:/13960/t7rn33338,rome,en,2,"Besant, Walter, Sir","The city of refuge.",1897,unknown,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,157704
Hathi,uiuo.ark:/13960/t11n8m069,rome,en,1,"Kavanagh, Julia","Nathalie : a tale / by Julia Kavanagh.",1850,female,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,83898
Hathi,uva.x000742341,rome,en,1,"Carlyle, Thomas","Collected works.",1887,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,175974
Hathi,mdp.39015010554049,romes,en,1,"Chaucer, Geoffrey","The complete works of Geoffrey Chaucer / edited from numerous mauscripts by the Rev. Walter W. Skeat.",1894,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,291072
Hathi,uva.x030584596,rome,en,1,"Sir, Scott, Walter","The Waverley novels,",1868,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,155118
Hathi,nnc1.0050796240,rome,en,2,"Kingsley, Henry",Novels.,1896,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,192605
Hathi,uc1.b3327623,rome,en,10,"Kingsley, Henry",Stretton.,1895,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,192203
Hathi,uc2.ark:/13960/t7tm76w43,roman,en,1,"Davidson, John","A random itinerary, by John Davidson.",1894,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,40005
Hathi,wu.89089183347,"rom ",en,1,"Knight, Charles","Biography : or, Third division of ""The English encyclopedia"" / conducted by Charles Knight.",1872,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,1203120
Hathi,njp.32101064911876,roma,en,1,"Marryat, Frederick","The novels of Captain Marryat / edited by R. Brimley Johnson.",1896,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,175730
Hathi,mdp.39015070219079,roma,en,1,"Sala, George Augustus","Under the sun; essays mainly written in hot countries, by George Augustus Sala. With several additional essays. Illustrated with twelve page engravings, and an etched portrait of the author.",1886,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,162221
Hathi,mdp.39015005361004,roma,en,1,"Chaucer, Geoffrey","The complete works of Geoffrey Chaucer / edited from numerous mauscripts by the Rev. Walter W. Skeat.",1894,male,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,294412
Hathi,uc2.ark:/13960/t11n84w3q,roma,en,1,"Charles, Elizabeth Rundle","Chronicles of the Schönberg-Cotta family / by the author of ""The voice of Christian life in song,"" ""The three wakings,"" etc., etc.",1866,female,Fiction,"","","",ChIJu46S-ZZhLxMROG5lkwZ3D7k,"Rome, Italy",locality,Italy,IT,Lazio,Lazio,"Metropolitan City of Rome",Rome,"","",Rome,"","","","","","","","","","","","","","","",41.9027835,12.4963655,205210
